isbn13,isbn10,title,author,publisher,description
9780316420389,,THE RUSSIAN,James Patterson and James O. Born,"Little, Brown",The 13th book in the Michael Bennett series. An assassin killing a number of women might disrupt the detective’s wedding plans.
9780593296677,,THE SANATORIUM,Sarah Pearse,Pamela Dorman,"Elin Warner must find her estranged brother’s fiancée, who goes missing as a storm approaches a hotel that was once a sanatorium in the Swiss Alps."
9781101947807,,SEND FOR ME,Lauren Fox,Knopf,A woman in Wisconsin discovers a trove of her grandmother’s letters that detail her experiences in Germany leading up to World War II.
9780593295847,,GIRL A,Abigail Dean,Viking,"When their mother dies in prison, Lex Gracie and her siblings confront their shared past and shifting alliances."
9780525618553,,SERPENTINE,Jonathan Kellerman,Ballantine,The 36th book in the Alex Delaware series. Sturgis calls on Delaware to help solve a decades-old cold case.
9780063384217,,AN INSIDE JOB,Daniel Silva,Harper,"The 25th book in the Gabriel Allon series. The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
9781250333988,,THE ENCHANTED GREENHOUSE,Sarah Beth Durst,Bramble,"In this novel set in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
9781649379153,,THREE SHATTERED SOULS,Mai Corland,Red Tower,The third book in the Broken Blades series. Allegiances are upended as the Blades face new threats.
9781538771228,,ROSE IN CHAINS,Julie Soto,Forever,"After the dark forces win the war, Evermore's princess, Briony Rosewood, is auctioned off to a member of a family known for its viciousness."
9780778387480,,THE GIRL I WAS,Jeneva Rose,MIRA,"After a breakup and the loss of her job, Alexis wakes up in her college town in the year 2002 and comes across her 18-year-old self."
9781668025628,,THE WOMAN IN SUITE 11,Ruth Ware,Gallery/Scout,The second book in the Lo Blacklock series. Blacklock attends the opening of a luxury Swiss hotel and gets swept up in a dangerous pursuit across Europe.
9781538769997,,THE UNRAVELING OF JULIA,Lisa Scottoline,Grand Central,Julia Pritzker encounters strange and deadly things when she goes to claim the Tuscan villa and vineyard she inherited from a stranger.
9780593819456,,THE IRRESISTIBLE URGE TO FALL FOR YOUR ENEMY,Brigitte Knightley,Ace,Aurienne Fairhrim accepts an offer to heal a member of an enemy faction and an attraction develops.
9781538759196,,SAY YOU'LL REMEMBER ME,Abby Jimenez,Forever,"Despite having a great date, Samantha asks a veterinarian to forget about her because her family is in crisis."
9780063411661,,SUMMER IN THE CITY,Alex Aster,Morrow,A screenwriter seeking inspiration coincidentally moves next door to the billionaire with whom she hooked up a couple years ago.
9781250385086,,THE SIRENS,Emilia Hart,St. Martin's,"In 1800, two sisters head to Australia on a convict ship and notice changes in their bodies. In 2019, stories of men missing at sea and other odd occurrences emerge."
9781538756355,,NOBODY'S FOOL,Harlan Coben,Grand Central,The private investigator Sami Kierce tracks down clues to solve a mystery from his past.
9780593718407,,LETHAL PREY,John Sandford,Putnam,The 35th book in the Prey series. True-crime bloggers complicate Lucas Davenport and Virgil Flowers’s search for a killer.
9780316570008,,THE WRITER,James Patterson and J.D. Barker,"Little, Brown",An N.Y.P.D. detective is called to a crime scene in an apartment where the shelves are full of books by a true-crime writer.
9781668091968,,WILDFIRE,Hannah Grace,Atria,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.
9781524798659,,MALIBU RISING,Taylor Jenkins Reid,Ballantine,An epic party has serious outcomes for four famous siblings.
9780316540711,,THE PRESIDENT'S DAUGHTER,James Patterson and Bill Clinton,"Little, Brown","Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
9780316420082,,GOLDEN GIRL,Elin Hilderbrand,"Little, Brown",A Nantucket novelist gets one final summer to watch what happens from the great beyond.
9780593183168,,SURVIVE THE NIGHT,Riley Sager,Dutton,"On a long ride back to Ohio in 1991, a college student suspects she might be sharing a car with the man known as the Campus Killer."
9781250304452,,THE MAIDENS,Alex Michaelides,Celadon,A therapist suspects a Greek tragedy professor at Cambridge University of committing murder.
9780593101537,,THE PERSONAL LIBRARIAN,Marie Benedict and Victoria Christopher Murray,Berkley,A Black woman who becomes one of the most powerful people in the art and book world is forced to hide her true identity.
9780593159415,,STAR WARS: THE RISING STORM,Cavan Scott,Del Rey,"In this installment of the High Republic series, Marchion Ro sows chaos at the Republic Fair."
9780385547680,,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
9781982160135,,THE OTHER BLACK GIRL,Zakiya Dalila Harris,Atria,Tension unfurls when two young Black women meet against the starkly white backdrop of New York City book publishing.
9780593135204,,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
9781501133541,,THAT SUMMER,Jennifer Weiner,Atria,Daisy Shoemaker receives emails intended for a woman leading a more glamorous life and finds there was more to this accident.
9781982154837,,FORTUNE AND GLORY,Janet Evanovich,Atria,The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.
9781984818461,,THE SENTINEL,Lee Child and Andrew Child,Delacorte,Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.
9780316541619,,THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,"Little, Brown",Detective Sean Walsh must solve a case involving three missing women who had access to a home where a man was murdered.
9780525954989,,THE EVENING AND THE MORNING,Ken Follett,Viking,"In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings."
9780593133842,,THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,Random House,Bud Threadgoode returns to his hometown and sets off some life-changing events.
9781984818355,,THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,"After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist."
9781982100599,,WHITE IVY,Susie Yang,Simon & Schuster,"Years after being sent to China as a punishment by her mother, Ivy Lin reconnects with her teenage crush but her past threatens to catch up to her."
